,State,Rank
0,Washington,1.0
1,Hawaii,0.9795918367346939
2,California,0.9591836734693877
3,Rhode Island,0.9387755102040817
4,Maine,0.9183673469387755
5,Florida,0.8979591836734694
6,New Hampshire,0.8775510204081632
7,Vermont,0.8571428571428571
8,Delaware,0.8367346938775511
9,Oregon,0.8163265306122449
10,Minnesota,0.7959183673469388
11,Michigan,0.7755102040816326
12,Massachusetts,0.7551020408163265
13,Maryland,0.7346938775510204
14,New York,0.7142857142857143
15,Nevada,0.6938775510204082
16,Idaho,0.673469387755102
17,Wisconsin,0.6530612244897959
18,Virginia,0.6326530612244898
19,Tennessee,0.6122448979591837
20,South Dakota,0.5918367346938775
21,Connecticut,0.5714285714285714
22,Missouri,0.5510204081632653
23,Georgia,0.5306122448979592
24,New Jersey,0.5102040816326531
25,Pennsylvania,0.4897959183673469
26,Iowa,0.46938775510204084
27,Kentucky,0.4489795918367347
28,North Carolina,0.42857142857142855
29,Arkansas,0.40816326530612246
30,Alabama,0.3877551020408163
31,Nebraska,0.3673469387755102
32,South Carolina,0.3469387755102041
33,West Virginia,0.32653061224489793
34,Colorado,0.30612244897959184
35,Texas,0.2857142857142857
36,Ohio,0.2653061224489796
37,Arizona,0.24489795918367346
38,New Mexico,0.22448979591836735
39,Montana,0.20408163265306123
40,Wyoming,0.1836734693877551
41,Mississippi,0.16326530612244897
42,Utah,0.14285714285714285
43,Kansas,0.12244897959183673
44,Illinois,0.10204081632653061
45,Indiana,0.08163265306122448
46,North Dakota,0.061224489795918366
47,Oklahoma,0.04081632653061224
48,Alaska,0.02040816326530612
49,Louisiana,0.0
